COUNTRY,TITLE,CHANNELTITLE,VIEW_COUNT,RK
BR,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,1
BR,IShowSpeed x MC Kevin O Chris - Amar de (Official Music Video),IShowSpeed,2971782,2
BR,Confrontation - The Skibidi Saga 05,Maxedy,2323375,3
CA,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,1
CA,"If my viewers break my secret rule, I ban them",DougDoug,2988844,2
CA,Confrontation - The Skibidi Saga 05,Maxedy,2323375,3
DE,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,1
DE,"If my viewers break my secret rule, I ban them",DougDoug,2988844,2
DE,Season 3 Warzone Launch Trailer - Rebirth Island | Call of Duty: Warzone,Call of Duty,2311131,3
FR,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,1
FR,Season 3 Warzone Launch Trailer - Rebirth Island | Call of Duty: Warzone,Call of Duty,2311131,2
FR,Clove Official Gameplay Reveal // VALORANT,VALORANT,2043592,3
GB,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,1
GB,"If my viewers break my secret rule, I ban them",DougDoug,2988844,2
GB,IShowSpeed - Monkey  (Official Music Video),IShowSpeed,2655688,3
IN,I BUILD MY NEW HOUSE | PALWORLD GAMPLAY #8,Techno Gamerz,4298290,1
IN,I BECAME A TAXI DRIVER,Techno Gamerz,4064687,2
IN,Ye Baby Nahi Shaitaan Hai - The Baby in Yellow (Part 1),Live Insaan,3967222,3
JP,働いたことない男のスーパーマーケット経営『 Supermarket Simulator 』,キヨ。,3153412,1
JP,働いたことない男がバイトを雇うスーパーマーケット経営『 Supermarket Simulator 』,キヨ。,2116115,2
JP,【崩壊：スターレイル】黄泉 キャラクターPV 「君の色」,崩壊：スターレイル,1206271,3
KR,'HOT DEBUT' 아일릿(ILLIT) - Magnetic #엠카운트다운 EP.835 | Mnet 240328 방송,Mnet K-POP,1678685,1
KR,(여자)아이들 - 나는 아픈 건 딱 질색이니까 #엠카운트다운 EP.834 | Mnet 240321 방송,Mnet K-POP,1337298,2
KR,Kissing You(키싱유) 이세계아이돌 COVERㅣ[소녀시대 - Kissing You(키싱유)] (ISEGYE IDOL),왁타버스 WAKTAVERSE,1093916,3
MX,"HAPPY WHEELS, PERO EN 2024 !! - Episodio 28 | Fernanfloo",Fernanfloo,7227426,1
MX,ENTRE AL TUNEL DE ALFA EN ROBLOX!,FedeGames,5938537,2
MX,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,3
US,DAGGER DUCHESS - New Tower Troop! (Official Music Video),Clash Royale,4923026,1
US,"If my viewers break my secret rule, I ban them",DougDoug,2988844,2
US,Confrontation - The Skibidi Saga 05,Maxedy,2323375,3
