COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
BR,2024-01-01,"Survive 100 Days Trapped, Win $500,000",MrBeast,Entertainment,139504939,3.20
CA,2024-01-01,"Still Here | Season 2024 Cinematic - League of Legends (ft. Forts, Tiffany Aris, and 2WEI)",League of Legends,Gaming,104159411,1.69
DE,2024-01-01,"Still Here | Season 2024 Cinematic - League of Legends (ft. Forts, Tiffany Aris, and 2WEI)",League of Legends,Gaming,104159411,1.69
FR,2024-01-01,"Still Here | Season 2024 Cinematic - League of Legends (ft. Forts, Tiffany Aris, and 2WEI)",League of Legends,Gaming,104159411,1.69
GB,2024-01-01,"Still Here | Season 2024 Cinematic - League of Legends (ft. Forts, Tiffany Aris, and 2WEI)",League of Legends,Gaming,104159411,1.69
IN,2024-01-01,"Protect $500,000 Keep It!",MrBeast,Entertainment,85458562,4.21
JP,2024-01-01,"Survive 100 Days Trapped, Win $500,000",MrBeast,Entertainment,137639799,3.22
KR,2024-01-01,"Survive 100 Days Trapped, Win $500,000",MrBeast,Entertainment,143955997,3.16
MX,2024-01-01,"Survive 100 Days Trapped, Win $500,000",MrBeast,Entertainment,137639799,3.22
US,2024-01-01,Grand Theft Auto VI Trailer 1,Rockstar Games,Gaming,166323421,6.73
BR,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,126846652,3.54
CA,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,119170728,3.66
DE,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,114978689,3.72
FR,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,114978689,3.72
GB,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,114978689,3.72
IN,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,109797680,3.81
JP,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,130451673,3.49
KR,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,139979994,3.34
MX,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,134662016,3.42
US,2024-02-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,144360336,3.29
BR,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,127664536,3.75
CA,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,124990354,3.79
DE,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,117665895,3.91
FR,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,121793723,3.84
GB,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,124990354,3.79
IN,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,97224959,4.33
JP,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,132125566,3.69
KR,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,140144693,3.58
MX,2024-03-01,I Survived 7 Days In An Abandoned City,MrBeast,Entertainment,142313377,3.56
US,2024-03-01,"Face Your Biggest Fear To Win $800,000",MrBeast,Entertainment,169649341,3.00
BR,2024-04-01,7 Days Stranded On An Island,MrBeast,Entertainment,108502278,4.25
CA,2024-04-01,7 Days Stranded On An Island,MrBeast,Entertainment,108502278,4.25
DE,2024-04-01,Discord Loot Boxes are here.,Discord,Entertainment,1407643634,0.01
FR,2024-04-01,Pushpa 2 The Rule Teaser | Allu Arjun | Sukumar | Rashmika Mandanna | Fahadh Faasil | DSP,Mythri Movie Makers,Entertainment,112497953,1.45
GB,2024-04-01,Discord Loot Boxes are here.,Discord,Entertainment,1406329649,0.01
IN,2024-04-01,Pushpa 2 The Rule Teaser | Allu Arjun | Sukumar | Rashmika Mandanna | Fahadh Faasil | DSP,Mythri Movie Makers,Entertainment,112497953,1.45
JP,2024-04-01,BABYMONSTER - ‘SHEESH’ M/V,BABYMONSTER,People & Blogs,117214985,2.07
KR,2024-04-01,BABYMONSTER - ‘SHEESH’ M/V,BABYMONSTER,People & Blogs,117214985,2.07
MX,2024-04-01,Discord Loot Boxes are here.,Discord,Entertainment,1406329649,0.01
US,2024-04-01,Discord Loot Boxes are here.,Discord,Entertainment,1407643634,0.01
